codice;codice_linea;denominazione;ubicazione;comune;codice_zona;quartiere;geopoint;zona_prossimita;area_statistica
690202;621;MUNICIPIO - GIARDINI [202;VIA DELLA VITTORIA - PIAZZA IV NOVEMBRE;FORMIGNANA;621;N/A;44.842643, 11.858851;Fuori Bologna;Fuori Bologna
690217;;SCUOLA ELEMENTARE [217];VIA G. VENTURINI;LAGOSANTO;628;N/A;44.760645, 12.140913;Fuori Bologna;Fuori Bologna
690218;;VIA DELL`ARTIGIANATO [218;VIA DELL`ARTIGIANATO;FORMIGNANA;621;N/A;44.844345, 11.847319;Fuori Bologna;Fuori Bologna
690300;;OSPEDALE - MUTUA [300];PIAZZALE CARLO FORLANINI 5/6;TRESIGALLO;621;N/A;44.814586, 11.897327;Fuori Bologna;Fuori Bologna
690303;;PIAZZA REPUBBLICA [303];PIAZZA DELLA REPUBBLICA 41/42;TRESIGALLO;621;N/A;44.816995, 11.894273;Fuori Bologna;Fuori Bologna
690318;;FINAL DI RERO CHIESA [318;;FINALE DI RERO;621;N/A;44.808924, 11.874141;Fuori Bologna;Fuori Bologna
690321;621;VIA NEVATICA - CIMITERO [;VIA NEVATICA 2;TRESIGALLO;621;N/A;44.82256, 11.892401;Fuori Bologna;Fuori Bologna
690404;;CONTRASTINI BIBLIOTECA [4;VIA CONTRASTINI;JOLANDA DI SAVOIA;616;N/A;44.885452, 11.974226;Fuori Bologna;Fuori Bologna
690425;622;JOLANDA BONAGLIA TRATTORI;VIA JOLANDA BONAGLIA 6;JOLANDA DI SAVOIA;616;N/A;44.889133, 11.977354;Fuori Bologna;Fuori Bologna
690480;;PALLOTTA OSTELLATO [48A];STRADA PODERALE PALLOTTA 1;COMACCHIO;627;N/A;44.702344, 12.15212;Fuori Bologna;Fuori Bologna
690503;635;MIGLIARINO - PUCCINI [503;VIA PUCCINI 19;MIGLIARINO;623;N/A;44.767508, 11.931377;Fuori Bologna;Fuori Bologna
690506;635;MATTEOTTI 3 [506];VIA MATTEOTTI 3;MIGLIARINO;623;N/A;44.771629, 11.936704;Fuori Bologna;Fuori Bologna
690507;;TRAVAGLIO 143 [507];VIA TRAVAGLIO 143;MIGLIARINO;623;N/A;44.77449, 11.936065;Fuori Bologna;Fuori Bologna
690509;;TRAVAGLIO 50 [509];VIA TRAVAGLIO 50;MIGLIARINO;623;N/A;44.77337, 11.921121;Fuori Bologna;Fuori Bologna
690510;;TRAVAGLIO 90 [510];VIA TRAVAGLIO 90;MIGLIARINO;623;N/A;44.772577, 11.925024;Fuori Bologna;Fuori Bologna
690511;;TRAVAGLIO 136 [511];VIA TRAVAGLIO 136;MIGLIARINO;623;N/A;44.77132, 11.928423;Fuori Bologna;Fuori Bologna
690513;;CORNACERVINA - CIRCOLO AC;SP4;CORNACERVINA;623;N/A;44.780267, 11.921785;Fuori Bologna;Fuori Bologna
690524;;CA` NOVE [524];VIA SFONDRABO`;CANOVE;625;N/A;44.782398, 11.987254;Fuori Bologna;Fuori Bologna
690526;635;GUARALDI [526];VIA GUARALDI 31;MIGLIARO;625;N/A;44.802092, 11.973565;Fuori Bologna;Fuori Bologna
690550;;TERME OASI [550];;COMACCHIO;602;N/A;44.730874, 12.228345;Fuori Bologna;Fuori Bologna
690606;;TORBIERA [606];VIA DELLA TARBIERA;TORBIERA;617;N/A;44.86972, 12.083942;Fuori Bologna;Fuori Bologna
690701;637;RISERIA [701];SP62 - VIA FRONTE PRIMO TRONCO 22;CODIGORO;617;N/A;44.844705, 12.144571;Fuori Bologna;Fuori Bologna
690707;;PONTELANGORINO CIMITERO [;VIA DEL CIMITERO;PONTELANGORINO;617;N/A;44.8619, 12.144862;Fuori Bologna;Fuori Bologna
690709;;VIA BASSE 15 [709];VIA BASSE 15;CODIGORO;617;N/A;44.860682, 12.158314;Fuori Bologna;Fuori Bologna
690801;637;CODIGORO POMPIERI [801];VIA POMPOSA NORD;CODIGORO;617;N/A;44.833522, 12.121064;Fuori Bologna;Fuori Bologna
690802;;VIA PERTINI [802];VIA PERTINI FR 15;PONTEMAODINO;617;N/A;44.836664, 12.141059;Fuori Bologna;Fuori Bologna
690805;;CIRCOLO AICS [805];VIA POMPOSA;PONTEMAODINO;617;N/A;44.835074, 12.148133;Fuori Bologna;Fuori Bologna
690806;;VIA DELL`ARTIGIANATO [806;VIA DELL`ARTIGIANATO;PONTEMAODINO;617;N/A;44.83561, 12.152514;Fuori Bologna;Fuori Bologna
690808;;POMPOSA CIMITERO [808];;CODIGORO;617;N/A;44.834237, 12.175718;Fuori Bologna;Fuori Bologna
690809;638;LOVARA [809];SS309;CODIGORO;617;N/A;44.846395, 12.175551;Fuori Bologna;Fuori Bologna
690813;;CAPRILE PARCHEGGIO [813];PARCHEGGIO IN LOCALITA` CAPRILE CENTRO;CAPRILE;617;N/A;44.859048, 12.165641;Fuori Bologna;Fuori Bologna
