Station_Name,Latitude,Longitude,Population_Served,Type
SAN LAZZARO FIUME SAVENA,44.472604545,11.40321324,792.1111111111111,bus
CENTRO CIVICO MAZZINI,44.47448351,11.39008382,792.1111111111111,bus
GENOVA,44.47285821,11.394414955,792.1111111111111,bus
VILLAGGIO DUE MADONNE,44.47565825,11.395242549999999,775.4305555555555,bus
PASUBIO,44.498181,11.31891876,770.1428571428571,bus
VITTORIO VENETO,44.499659859999994,11.320624895,770.1428571428571,bus
WEBER,44.49915969,11.3157064,770.1428571428571,bus
ACQUEDOTTO TRIUMVIRATO,44.51547182,11.29263735,768.1428571428571,bus
FAGGIOLO,44.50890139,11.28449625,768.1428571428571,bus
PIETRA,44.51139271,11.28686375,768.1428571428571,bus
TRIUMVIRATO,44.51168466666667,11.290569756666665,768.1428571428571,bus
CINTA DAZIARIA TEATRI DI VITA,44.51184918,11.288512865000001,768.1428571428571,bus
BOMBICCI,44.47920469,11.39432897,758.75,bus
TURATI,44.491489465,11.32181537,757.5576923076924,bus
ORSONI,44.489649025,11.321080865,757.5576923076924,bus
FAENZA,44.47315325,11.38762963,756.9222222222222,bus
CROCE DEL BIACCO,44.490536245,11.39893619,743.5,bus
BARELLI,44.4948308,11.39979076,743.5,bus
CANOVA,44.488019315,11.397041255000001,743.5,bus
MARTELLI,44.492698425,11.40037417,743.5,bus
TIBALDI DALL'ARCA,44.51153775,11.34237011,727.3333333333334,bus
CRETI,44.510252879999996,11.350524040000002,727.3333333333334,bus
BIGARI,44.508651315,11.35105931,727.3333333333334,bus
