Station,Degree,Degree Centrality,Closeness Centrality,Betweenness Centrality,Coreness
LAURA BASSI,2,0.001597444089456869,0.0001785819709556186,0.010384025048331942,2
PORTA MASCARELLA,2,0.001597444089456869,0.00019278285620229617,0.00021324793200583304,2
FERMATA SERVIZIO DUE MADONNE,1,0.0007987220447284345,0.00014075912423828867,0.0,1
MONDOLFO,3,0.0023961661341853034,0.00014757057452718486,0.0155862530422946,2
MONDOLFO,3,0.0023961661341853034,0.00014738997842607204,0.020623756585785684,2
DEPOSITO DUE MADONNE 1,2,0.001597444089456869,0.00014463840300291478,0.011521772996937914,2
DEPOSITO DUE MADONNE 1,2,0.001597444089456869,0.00014408034406994895,0.016034456779624225,2
DEPOSITO DUE MADONNE 2,3,0.0023961661341853034,0.000142548915225939,0.010917783345208817,2
DEPOSITO DUE MADONNE 2,5,0.003993610223642172,0.00014250168169835668,0.021585287680398812,2
CANOVA,3,0.0023961661341853034,0.00013722615093265345,0.008316669348227489,2
CANOVA,2,0.001597444089456869,0.00013710079877328861,0.011531988466734599,2
FIORAVANTI PIAZZA LIBER PARADISUS,3,0.0023961661341853034,0.00017599999290764977,0.01132384826962711,2
STAZIONE CENTRALE - MATTEOTTI,3,0.0023961661341853034,0.00019000981889652355,0.005010687935274784,2
SAN LAZZARO POGGI,2,0.001597444089456869,0.0001128240157865383,0.01566286906576975,2
SAN LAZZARO JUSSI,3,0.0023961661341853034,0.00011467809428358521,0.025651044659480083,2
CICOGNA FONDAZIONE CIRULLI,2,0.001597444089456869,0.00010122381468585204,0.014167579674279746,2
CICOGNA FONDAZIONE CIRULLI,2,0.001597444089456869,0.00010401071837177739,0.014728153579372924,2
SAN LAZZARO CIMITERO,2,0.001597444089456869,9.786827135963763e-05,0.012683782686311016,2
SAN LAZZARO CIMITERO,2,0.001597444089456869,9.781604070386081e-05,0.013232864187882921,2
STAZIONE CENTRALE,3,0.0023961661341853034,0.0001958240370889431,0.00840222390777474,2
CASELLE GRAMSCI,2,0.001597444089456869,0.00011537838976905939,0.0036903384640530387,2
CASELLE GRAMSCI,2,0.001597444089456869,0.00011771189858143205,0.004397759747473587,2
CASELLE SPERANZA,2,0.001597444089456869,0.0001112352539312556,0.00229464990308073,2
CASELLE SPERANZA,2,0.001597444089456869,0.00011331820146287045,0.002952270771242431,2
CASELLE CA` RICCHI,2,0.001597444089456869,0.00010835142752999642,0.001200317701110677,2
CASELLE CA` RICCHI,2,0.001597444089456869,0.00010968087050039528,0.0016114903604273131,2
SAN LAZZARO STAZIONE,2,0.001597444089456869,0.00010765812496341901,0.0008772534687904629,2
PORTA MASCARELLA,2,0.001597444089456869,0.00019137585581504782,0.01321754098318789,2
PORTA SAN DONATO,3,0.0023961661341853034,0.00019596608168003267,0.0005516353690210771,2
PORTA SAN DONATO,2,0.001597444089456869,0.00019239764288484656,0.013350342090544818,2
STAZIONE CENTRALE,3,0.0023961661341853034,0.00019149112910985382,0.03283635072772453,2
PORTA SAN VITALE,5,0.003993610223642172,0.00020041057350952848,0.040275766607161555,2
PORTA SAN VITALE (VIA MASSARENTI),3,0.0023961661341853034,0.0002022141280223405,0.06998235277592622,2
PORTA SAN VITALE,2,0.001597444089456869,0.0001939675811783023,0.01846829245868481,2
OSPEDALE SANT`ORSOLA,3,0.0023961661341853034,0.00019769529047764786,0.06432425944228642,2
OSPEDALE SANT`ORSOLA,3,0.0023961661341853034,0.0001953497368885383,0.03934488192193849,2
OSPEDALE SANT`ORSOLA ALBERTONI,5,0.003993610223642172,0.0001957972662728911,0.08129853944320582,2
OSPEDALE SANT`ORSOLA ALBERTONI,3,0.0023961661341853034,0.00019244560668814259,0.043766903410179206,2
MASSARENTI,2,0.001597444089456869,0.0001882122501901246,0.024905315364321962,2
RIMESSE STAZIONE,2,0.001597444089456869,0.0001732980763880624,0.02218289266350498,2
MASSARENTI,2,0.001597444089456869,0.00018223376703657625,0.028521591672349023,2
PIAZZA ALDROVANDI,2,0.001597444089456869,0.00018985077619699256,0.0031987189800874957,2
TRIACHINI,2,0.001597444089456869,0.00017996277127612726,0.023532611610392197,2
RIMESSE STAZIONE,2,0.001597444089456869,0.00017102905435308836,0.027215288472097723,2
PARCO,2,0.001597444089456869,0.00016696312113180566,0.02597921662669864,2
PARCO,2,0.001597444089456869,0.00016692707487681206,0.02089829733657164,2
MASSARENTI SOTTOVIA,2,0.001597444089456869,0.0001578190325206081,0.024785283594210894,2
MASSARENTI SOTTOVIA,2,0.001597444089456869,0.00015948273314463229,0.019706918171533062,2
GIAMBOLOGNA,2,0.001597444089456869,0.0001525556525453766,0.02371521313300797,2
SANTA RITA,2,0.001597444089456869,0.00015675134152372692,0.018567893289202504,2
TANGENZIALE SAN VITALE,3,0.0023961661341853034,0.00014868232093247046,0.022966929970400677,2
GIAMBOLOGNA,2,0.001597444089456869,0.00015302183768639566,0.017499099761724167,2
PIAZZA DEI COLORI,3,0.0023961661341853034,0.00014260628000211628,0.012628874536153824,2
TANGENZIALE SAN VITALE,3,0.0023961661341853034,0.0001490169404186251,0.016655046569772937,2
PIAZZA DEI COLORI,3,0.0023961661341853034,0.0001431350199672188,0.010772212900606032,2
BARELLI,2,0.001597444089456869,0.00014098440118780537,0.009382909008256654,2
FILOPANTI,4,0.003194888178913738,0.00020181892009548633,0.07456782178091392,2
PALAGI,3,0.0023961661341853034,0.00019031020256178574,0.019989120524666528,2
