Station,Degree,Degree Centrality,Closeness Centrality,Betweenness Centrality,Coreness
West Finchley,2,0.006644518272425249,4.511573713852652e-05,0.019800664451827245,1
West Ham,4,0.013289036544850499,6.266775419714914e-05,0.08502768549280178,2
West Hampstead,2,0.006644518272425249,6.882486240944711e-05,0.023344407530454043,2
West Harrow,2,0.006644518272425249,4.396022570120511e-05,0.0559468438538206,2
West India Quay,3,0.009966777408637873,6.873395914842599e-05,0.06635658914728683,2
West Kensington,2,0.006644518272425249,7.325961423456258e-05,0.0,2
West Ruislip,1,0.0033222591362126247,3.38247162060198e-05,0.0,1
Whitechapel,4,0.013289036544850499,7.811959699310594e-05,0.20954595791805095,2
White City,2,0.006644518272425249,6.788296306540578e-05,0.057231450719822816,2
Willesden Green,2,0.006644518272425249,6.1782920338996e-05,0.013133997785160577,2
Willesden Junction,2,0.006644518272425249,5.449544771391891e-05,0.04558139534883721,1
Wimbledon,1,0.0033222591362126247,4.659994537439812e-05,0.0,1
Wimbledon Park,2,0.006644518272425249,5.013660001773989e-05,0.006644518272425249,1
Woodford,3,0.009966777408637873,4.3188941878820035e-05,0.05193798449612404,2
Woodside Park,2,0.006644518272425249,4.3286569426129775e-05,0.013244739756367665,1
Wood Green,2,0.006644518272425249,5.203635231736755e-05,0.032779623477297896,1
Brixton,1,0.0033222591362126247,6.608451089023147e-05,0.0,1
Amersham,1,0.0033222591362126247,2.2924847321001397e-05,0.0,1
Bermondsey,2,0.006644518272425249,7.518225768319657e-05,0.04753045404208195,2
Chesham,1,0.0033222591362126247,2.1847610865929457e-05,0.0,1
Chalfont & Latimer,3,0.009966777408637873,2.475453233313403e-05,0.013266888150609082,1
Chorleywood,2,0.006644518272425249,2.6924542720475746e-05,0.019800664451827245,1
Rickmansworth,2,0.006644518272425249,2.9626806033302373e-05,0.026312292358803988,1
Croxley,2,0.006644518272425249,3.0505289177402534e-05,0.006644518272425249,1
Watford,1,0.0033222591362126247,2.876903855701263e-05,0.0,1
Ruislip Gardens,2,0.006644518272425249,3.6449377090031255e-05,0.006644518272425249,1
High Barnet,1,0.0033222591362126247,3.7054003478259064e-05,0.0,1
Totteridge & Whetstone,2,0.006644518272425249,4.0771512489538654e-05,0.006644518272425249,1
Cockfosters,1,0.0033222591362126247,3.759944539476209e-05,0.0,1
Oakwood,2,0.006644518272425249,3.954050281836882e-05,0.006644518272425249,1
Southgate,2,0.006644518272425249,4.2417050198980766e-05,0.013244739756367665,1
Epping,1,0.0033222591362126247,2.8727326603832224e-05,0.0,1
Theydon Bois,2,0.006644518272425249,3.099292255009244e-05,0.006644518272425249,1
Debden,2,0.006644518272425249,3.437775903322171e-05,0.013244739756367665,1
Loughton,2,0.006644518272425249,3.685782399222132e-05,0.019800664451827245,1
Buckhurst Hill,2,0.006644518272425249,3.930723789461582e-05,0.026312292358803988,1
Pudding Mill Lane,2,0.006644518272425249,5.9552764497706644e-05,0.011495016611295681,2
Southwark,2,0.006644518272425249,8.3582241902325e-05,0.03479512735326689,2
Canada Water,4,0.013289036544850499,7.288314037171845e-05,0.05171650055370986,2
Canning Town,4,0.013289036544850499,6.22098560183843e-05,0.061461794019933555,2
North Greenwich,2,0.006644518272425249,6.209078983577107e-05,0.0,2
Cutty Sark,2,0.006644518272425249,5.782671950854493e-05,0.026312292358803988,1
Greenwich,2,0.006644518272425249,5.5841101385450134e-05,0.019800664451827245,1
Deptford Bridge,2,0.006644518272425249,5.391516419043842e-05,0.013244739756367665,1
Elverson Road,2,0.006644518272425249,5.224709023422011e-05,0.006644518272425249,1
Lewisham,1,0.0033222591362126247,5.103114014952179e-05,0.0,1
New Cross,1,0.0033222591362126247,6.0993808467739326e-05,0.0,1
New Cross Gate,1,0.0033222591362126247,6.134752892696143e-05,0.0,1
